Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C52,100n,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,190.25,-66.245,-90.0,top
C53,4u7,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,192.25,-67.0625,-90.0,top
C54,22u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,185.6945,-70.2115,0.0,top
C55,100n,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,184.9175,-72.1125,0.0,top
C56,22u,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,131.5,-100.65,-90.0,top
D1,GREEN,LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder,166.5,-47.9,180.0,top
D2,Zener 8V,D_SOD-123,107.6,-151.45,-90.0,top
D3,Zener 8V,D_SOD-123,119.0,-151.65,-90.0,top
D4,D_Schottky,D_SOD-323_HandSoldering,188.25,-64.4625,90.0,top
D5,D,D_SOD-123F,132.65,-135.85,90.0,top
D6,D_Schottky-3A,D_SMA_Handsoldering,148.0,-101.5,-90.0,top
F1,BHFUSE BSMD2920-300-30V ,Fuse_2920_7451Metric_Pad2.10x5.45mm_HandSolder,221.9,-151.2,-90.0,top
F2,BHFUSE BSMD2920-300-30V ,Fuse_2920_7451Metric_Pad2.10x5.45mm_HandSolder,222.2,-133.5,-90.0,top
F3,BHFUSE BSMD2920-200-33V ,Fuse_2920_7451Metric_Pad2.10x5.45mm_HandSolder,219.408,-58.465,180.0,top
F4,BHFUSE BSMD2920-300-30V ,Fuse_2920_7451Metric_Pad2.10x5.45mm_HandSolder,221.9,-114.7,-90.0,top
F5,BHFUSE BSMD2920-200-33V ,Fuse_2920_7451Metric_Pad2.10x5.45mm_HandSolder,219.281,-70.784,180.0,top
F6,BHFUSE BSMD2920-200-33V ,Fuse_2920_7451Metric_Pad2.10x5.45mm_HandSolder,219.281,-83.611,180.0,top
F7,BHFUSE BSMD2920-200-33V ,Fuse_2920_7451Metric_Pad2.10x5.45mm_HandSolder,219.1,-96.9,180.0,top
F9,Polyfuse 1A,Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder,189.25,-59.6125,180.0,top
FB2,BLM21PG221,L_0805_2012Metric_Pad1.15x1.40mm_HandSolder,193.55,-58.65,-90.0,top
J1,Screw_Terminal_01x02,TerminalBlock_bornier-2_P5.08mm,148.66,-130.1,0.0,top
J2,Screw_Terminal_01x02,TerminalBlock_bornier-2_P5.08mm,79.4,-60.1,-90.0,top
J3,Screw_Terminal_01x02,TerminalBlock_bornier-2_P5.08mm,231.838,-132.925,-90.0,top
J4,Screw_Terminal_01x02,TerminalBlock_bornier-2_P5.08mm,231.9,-150.74,-90.0,top
J5,Screw_Terminal_01x02,TerminalBlock_bornier-2_P5.08mm,231.704,-113.798,-90.0,top
J7,Screw_Terminal_01x02,TerminalBlock_bornier-2_P5.08mm,231.9,-97.16,90.0,top
J8,Screw_Terminal_01x04,"TerminalBlock_Phoenix_MKDS-1,5-4-5.08_1x04_P5.08mm_Horizontal",186.46,-160.2,180.0,top
J10,Screw_Terminal_01x08,"TerminalBlock_Phoenix_MPT-0,5-8-2.54_1x08_P2.54mm_Horizontal",170.96,-134.1,0.0,top
J11,Screw_Terminal_01x08,"TerminalBlock_Phoenix_MPT-0,5-8-2.54_1x08_P2.54mm_Horizontal",173.42,-103.45,180.0,top
J12,Screw_Terminal_01x02,TerminalBlock_bornier-2_P5.08mm,79.4,-99.1,-90.0,top
J13,Screw_Terminal_01x02,TerminalBlock_bornier-2_P5.08mm,79.4,-86.1,-90.0,top
J14,Screw_Terminal_01x02,TerminalBlock_bornier-2_P5.08mm,79.4,-125.1,-90.0,top
J15,Screw_Terminal_01x02,TerminalBlock_bornier-2_P5.08mm,79.4,-112.1,-90.0,top
J16,Screw_Terminal_01x04,"TerminalBlock_Phoenix_MKDS-1,5-4-5.08_1x04_P5.08mm_Horizontal",163.06,-160.3,180.0,top
J17,Screw_Terminal_01x02,TerminalBlock_bornier-2_P5.08mm,79.4,-138.1,-90.0,top
J18,Screw_Terminal_01x02,TerminalBlock_bornier-2_P5.08mm,231.9,-58.592,90.0,top
J19,Screw_Terminal_01x02,TerminalBlock_bornier-2_P5.08mm,231.9,-70.784,90.0,top
J20,Screw_Terminal_01x02,TerminalBlock_bornier-2_P5.08mm,231.9,-83.611,90.0,top
J21,Screw_Terminal_01x04,"TerminalBlock_Phoenix_MKDS-1,5-4-5.08_1x04_P5.08mm_Horizontal",138.91,-160.4,180.0,top
J22,USB_B,CONN4_10-BRW_XNP,187.569998,-50.00575,180.0,top
J23,Screw_Terminal_01x02,TerminalBlock_bornier-2_P5.08mm,79.4,-73.1,-90.0,top
J24,XT90PW-F,AMASS_XT90PW-F,93.65,-159.671,0.0,top
K1,G6DN-1A-SL DC12,G6DN-1A-L,136.45,-127.62,90.0,top
Q1,SiR182DP,PowerPAK_SO-8_Single,213.68,-147.438,0.0,top
Q2,SiR182DP,PowerPAK_SO-8_Single,213.738,-111.385,0.0,top
Q3,Si7145DP,PowerPAK_SO-8_Single,112.265,-157.295,-90.0,top
Q4,Si7145DP,PowerPAK_SO-8_Single,207.87,-70.8,0.0,top
Q5,Si7145DP,PowerPAK_SO-8_Single,99.905,-75.695,180.0,top
Q6,Si7145DP,PowerPAK_SO-8_Single,99.9,-62.695,180.0,top
Q7,Si7145DP,PowerPAK_SO-8_Single,99.93,-101.695,180.0,top
Q8,Si7145DP,PowerPAK_SO-8_Single,99.93,-88.695,180.0,top
Q9,Si7145DP,PowerPAK_SO-8_Single,99.93,-127.695,180.0,top
Q10,Si7145DP,PowerPAK_SO-8_Single,99.93,-114.695,180.0,top
Q12,Si7145DP,PowerPAK_SO-8_Single,99.93,-140.695,180.0,top
Q13,SiR182DP,PowerPAK_SO-8_Single,214.13,-130.004,0.0,top
Q14,UMH3N,SOT-363_SC-70-6,177.1,-68.2625,-90.0,top
Q15,Si7145DP,PowerPAK_SO-8_Single,123.805,-157.305,-90.0,top
Q16,Si7145DP,PowerPAK_SO-8_Single,207.87,-58.495,0.0,top
Q17,Si7145DP,PowerPAK_SO-8_Single,207.9,-83.8,0.0,top
Q18,Si7145DP,PowerPAK_SO-8_Single,207.695,-96.9,0.0,top
Q19,2N7002H,SOT-23,129.8625,-131.0,0.0,top
R1,18000 0.1%,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,127.381,-56.769,0.0,top
R2,1200 0.1%,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,127.397,-53.975,180.0,top
R3,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,180.75,-90.3875,180.0,top
R4,470,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,207.454,-132.925,0.0,top
R5,3.3k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,161.925,-60.579,-90.0,top
R6,3.3k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,161.0,-54.59,90.0,top
R7,100k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,107.0,-156.0,180.0,top
R8,1m 1%,R_2512_6332Metric_Pad1.40x3.35mm_HandSolder,90.65,-75.695,0.0,top
R9,1m 1%,R_2512_6332Metric_Pad1.40x3.35mm_HandSolder,90.65,-62.695,0.0,top
R10,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,166.05,-85.1,-90.0,top
R11,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,162.6,-85.1,-90.0,top
R12,470,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,211.9,-152.0,180.0,top
R13,470,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,209.9,-116.4,0.0,top
R14,1m 1%,R_2512_6332Metric_Pad1.40x3.35mm_HandSolder,90.65,-101.695,0.0,top
